country,year,population,electricity_generation
Australia,2000,19132472.0,216.8300018
Australia,2001,19365438.0,224.2599945
Australia,2002,19595356.0,223.4900055
Australia,2003,19819449.0,225.9499969
Australia,2004,20046679.0,229.2299957
Australia,2005,20294490.0,230.7400055
Australia,2006,20590566.0,237.9900055
Australia,2007,20954545.0,243.1900024
Australia,2008,21370595.0,245.3800049
Australia,2009,21783014.0,249.8999939
Australia,2010,22141583.0,250.9700012
Australia,2011,22479779.0,256.2799988
Australia,2012,22852648.0,250.6600037
Australia,2013,23236271.0,249.5599976
Australia,2014,23595599.0,247.6499939
Australia,2015,23947997.0,253.9900055
Australia,2016,24329963.0,258.230011
Australia,2017,24731044.0,258.9700012
Australia,2018,25119700.0,262.6300049
Australia,2019,25482714.0,265.8999939
Australia,2020,25743787.0,265.1499939
Australia,2021,25956417.0,267.4500122
Australia,2022,26200987.0,272.9200134
Australia,2023,26451126.0,273.1099854
Australia,2024,26713206.0,281.6400146
Australia,2025,26974024.0,286.3399963
Austria,2000,8012929.0,59.63999939
Austria,2001,8042233.0,60.97999954
Austria,2002,8081640.0,60.63000107
Austria,2003,8122604.0,57.97000122
Austria,2004,8173496.0,61.84999847
Austria,2005,8229204.0,64.37000275
Austria,2006,8269901.0,62.20999908
Austria,2007,8296948.0,62.83000183
Austria,2008,8323250.0,64.37999725
Austria,2009,8345073.0,66.20999908
Austria,2010,8365087.0,67.81999969
Austria,2011,8393272.0,62.20000076
Austria,2012,8431599.0,68.65000153
Austria,2013,8481411.0,64.55000305
Austria,2014,8547812.0,61.54999924
Austria,2015,8644037.0,61.77999878
Austria,2016,8737920.0,64.87000275
Austria,2017,8798779.0,67.08999634
Austria,2018,8841653.0,64.66999817
Austria,2019,8880876.0,70.69000244
Austria,2020,8921402.0,69.02999878
Austria,2021,8967053.0,66.66999817
Austria,2022,9064678.0,64.47000122
Austria,2023,9130434.0,70.98000336
Austria,2024,9120815.0,78.47000122
Austria,2025,9113578.0,73.22000122
Belgium,2000,10251719.0,82.79000092
Belgium,2001,10287005.0,78.62999725
Belgium,2002,10332975.0,80.94000244
Belgium,2003,10376262.0,83.56999969
Belgium,2004,10421298.0,82.91000366
Belgium,2005,10478883.0,84.37999725
Belgium,2006,10548445.0,83.33999634
Belgium,2007,10625488.0,86.80999756
Belgium,2008,10709711.0,83.05999756
Belgium,2009,10812936.0,89.76000214
Belgium,2010,10936619.0,93.04000092
Belgium,2011,11038624.0,89.27999878
Belgium,2012,11107522.0,81.51000214
Belgium,2013,11160277.0,81.94999695
Belgium,2014,11210113.0,71.19999695
Belgium,2015,11275332.0,68.43000031
Belgium,2016,11332707.0,84.30999756
Belgium,2017,11376583.0,85.33999634
Belgium,2018,11428608.0,73.87000275
Belgium,2019,11490623.0,92.69000244
Belgium,2020,11540102.0,88.29000092
Belgium,2021,11570843.0,99.40000153
Belgium,2022,11641814.0,94.33000183
Belgium,2023,11712891.0,82.12999725
Belgium,2024,11738761.0,76.01000214
Belgium,2025,11758601.0,72.88999939
Brazil,2000,174018278.0,348.9299927
Brazil,2001,176301201.0,328.5499878
Brazil,2002,178503485.0,345.7200012
Brazil,2003,180622688.0,364.3900146
Brazil,2004,182675144.0,387.4899902
Brazil,2005,184688101.0,403.0700073
Brazil,2006,186653099.0,419.4500122
Brazil,2007,188552311.0,445.1499939
Brazil,2008,190367297.0,463.1799927
Brazil,2009,192079958.0,466.1700134
Brazil,2010,193701931.0,515.7999878
Brazil,2011,195284736.0,531.7600098
Brazil,2012,196876113.0,552.5
Brazil,2013,198478290.0,570.8300171
Brazil,2014,200085126.0,590.5499878
Brazil,2015,201675534.0,581.2199707
Brazil,2016,203218108.0,578.8900146
Brazil,2017,204703440.0,589.3200073
Brazil,2018,206107265.0,601.3900146
Brazil,2019,207455459.0,633.3300171
Brazil,2020,208660845.0,628.7600098
Brazil,2021,209550291.0,656.4000244
Brazil,2022,210306411.0,677.1599731
Brazil,2023,211140731.0,708.1199951
Brazil,2024,211998565.0,745.7199707
Brazil,2025,212812397.0,750.5300293
Bulgaria,2000,8000519.0,40.59000015
Bulgaria,2001,7928455.0,43.43999863
Bulgaria,2002,7861949.0,42.08000183
Bulgaria,2003,7804405.0,42.27999878
Bulgaria,2004,7749430.0,41.36000061
Bulgaria,2005,7695047.0,43.88999939
Bulgaria,2006,7640292.0,45.43999863
Bulgaria,2007,7586896.0,42.81999969
Bulgaria,2008,7535589.0,44.49000168
Bulgaria,2009,7488016.0,42.31000137
Bulgaria,2010,7437594.0,45.93000031
Bulgaria,2011,7380023.0,49.95999908
Bulgaria,2012,7317020.0,46.45999908
Bulgaria,2013,7264605.0,43.02000046
Bulgaria,2014,7223450.0,46.91999817
Bulgaria,2015,7177515.0,48.70999908
Bulgaria,2016,7127436.0,44.52999878
Bulgaria,2017,7075642.0,44.84000015
Bulgaria,2018,7024745.0,46.50999832
Bulgaria,2019,6975466.0,43.72000122
Bulgaria,2020,6933656.0,40.13999939
Bulgaria,2021,6877222.0,47.22000122
Bulgaria,2022,6825862.0,50.27999878
Bulgaria,2023,6795805.0,40.08000183
Bulgaria,2024,6757686.0,38.29999924
Bulgaria,2025,6714556.0,37.95999908
Canada,2000,30891800.0,603.8200073
Canada,2001,31213578.0,587.7600098
Canada,2002,31535579.0,599.789978
Canada,2003,31836483.0,588.2700195
Canada,2004,32132680.0,598.5
Canada,2005,32440172.0,620.5
Canada,2006,32759174.0,608.4299927
Canada,2007,33092171.0,634.1900024
Canada,2008,33449088.0,635.1099854
Canada,2009,33826370.0,613.8699951
Canada,2010,34196900.0,607.0300293
Canada,2011,34555449.0,638.2700195
Canada,2012,34922513.0,636.539978
Canada,2013,35293421.0,655.6900024
Canada,2014,35634265.0,652.9699707
Canada,2015,35962236.0,661.0800171
Canada,2016,36353345.0,667.1300049
Canada,2017,36808498.0,669.3499756
Canada,2018,37294996.0,661.2000122
Canada,2019,37782934.0,655.7000122
Canada,2020,38171903.0,655.8900146
Canada,2021,38454058.0,652.4000244
Canada,2022,38821259.0,664.0800171
Canada,2023,39299098.0,641.3900146
Canada,2024,39742429.0,636.789978
Canada,2025,40126728.0,652.4400024
Chile,2000,15503638.0,41.11999893
Chile,2001,15683852.0,42.31999969
Chile,2002,15857926.0,43.43999863
Chile,2003,16024755.0,46.63000107
Chile,2004,16187324.0,51.0
Chile,2005,16348780.0,52.22000122
Chile,2006,16509195.0,55.04000092
Chile,2007,16671571.0,58.27999878
Chile,2008,16838987.0,59.45999908
Chile,2009,17009730.0,60.36999893
Chile,2010,17181463.0,60.25
Chile,2011,17351810.0,65.65000153
Chile,2012,17519116.0,69.56999969
Chile,2013,17687006.0,72.83999634
Chile,2014,17864192.0,70.16999817
Chile,2015,18047630.0,74.91000366
Chile,2016,18267225.0,78.83000183
Chile,2017,18558868.0,78.93000031
Chile,2018,18893185.0,81.76000214
Chile,2019,19197748.0,83.98000336
Chile,2020,19370621.0,83.58000183
Chile,2021,19456323.0,88.09999847
Chile,2022,19553033.0,91.04000092
Chile,2023,19658833.0,89.23000336
Chile,2024,19764774.0,88.62000275
Chile,2025,19859919.0,88.5
China,2000,1269581174.0,1355.599976
China,2001,1278725061.0,1480.790039
China,2002,1286866835.0,1654.01001
China,2003,1294517323.0,1910.579956
China,2004,1302100316.0,2203.310059
China,2005,1310027135.0,2500.26001
China,2006,1318054030.0,2865.719971
China,2007,1325813576.0,3281.540039
China,2008,1333821011.0,3495.76001
China,2009,1342522717.0,3714.639893
China,2010,1351561505.0,4207.160156
China,2011,1360250658.0,4713.02002
China,2012,1369520866.0,4987.540039
China,2013,1379008040.0,5431.629883
China,2014,1387951970.0,5794.450195
China,2015,1396134171.0,5814.580078
China,2016,1404052628.0,6133.160156
China,2017,1412354730.0,6604.439941
China,2018,1419008954.0,7166.140137
China,2019,1423520357.0,7503.430176
China,2020,1426106093.0,7779.069824
China,2021,1426437269.0,8534.259766
China,2022,1425179562.0,8848.709961
China,2023,1422584930.0,9456.450195
China,2024,1419321284.0,10086.87988
China,2025,1416096093.0,10583.36035
Colombia,2000,39089939.0,42.81000137
Colombia,2001,39709263.0,43.13999939
Colombia,2002,40324684.0,44.70999908
Colombia,2003,40937426.0,46.20000076
Colombia,2004,41543177.0,49.33000183
Colombia,2005,42128978.0,49.93999863
Colombia,2006,42691081.0,53.34000015
Colombia,2007,43235374.0,54.79000092
Colombia,2008,43758805.0,55.47999954
Colombia,2009,44271543.0,56.75
Colombia,2010,44777325.0,60.22999954
Colombia,2011,45259614.0,61.70000076
Colombia,2012,45715807.0,63.06000137
Colombia,2013,46151583.0,73.51000214
Colombia,2014,46565426.0,70.45999908
Colombia,2015,46969938.0,77.97000122
Colombia,2016,47437513.0,76.16999817
Colombia,2017,48131076.0,78.47000122
Colombia,2018,49024463.0,78.20999908
Colombia,2019,49907987.0,78.77999878
Colombia,2020,50629997.0,77.75
Colombia,2021,51188174.0,84.36000061
Colombia,2022,51737944.0,82.86000061
Colombia,2023,52321152.0,86.58000183
Colombia,2024,52886360.0,89.13999939
Colombia,2025,53425629.0,90.36000061
Costa Rica,2000,3937737.0,6.860000134
Costa Rica,2001,4008951.0,6.900000095
Costa Rica,2002,4075710.0,7.420000076
Costa Rica,2003,4138791.0,7.300000191
Costa Rica,2004,4200079.0,7.980000019
Costa Rica,2005,4261240.0,8.18999958
Costa Rica,2006,4321337.0,8.619999886
Costa Rica,2007,4380250.0,8.979999542
Costa Rica,2008,4440058.0,9.399999619
Costa Rica,2009,4499788.0,9.239999771
Costa Rica,2010,4555965.0,9.510000229
Costa Rica,2011,4609834.0,9.75
Costa Rica,2012,4663930.0,10.10999966
Costa Rica,2013,4716153.0,10.18999958
Costa Rica,2014,4767126.0,10.17000008
Costa Rica,2015,4818045.0,10.77000046
Costa Rica,2016,4867003.0,10.85999966
Costa Rica,2017,4913177.0,11.27999973
Costa Rica,2018,4957813.0,11.43999958
Costa Rica,2019,4999549.0,11.42000008
Costa Rica,2020,5034323.0,11.72000027
Costa Rica,2021,5059991.0,12.72999954
Costa Rica,2022,5081764.0,12.43999958
Costa Rica,2023,5105526.0,11.72000027
Costa Rica,2024,5129909.0,11.0
Costa Rica,2025,5152949.0,12.81000042
Croatia,2000,4326105.0,11.21000004
Croatia,2001,4301079.0,12.75
Croatia,2002,4305783.0,12.68999958
Croatia,2003,4306683.0,13.15999985
Croatia,2004,4310050.0,13.86999989
Croatia,2005,4313946.0,13.05000019
Croatia,2006,4315802.0,12.90999985
Croatia,2007,4315959.0,12.53999996
Croatia,2008,4314635.0,12.77999973
Croatia,2009,4310537.0,13.35000038
